지역명,연도,월,평당분양가격,전용면적
충남,2016.0,1.0,8187.299999999999,60㎡
충남,2016.0,1.0,7527.299999999999,60㎡~85㎡
충남,2016.0,1.0,8385.3,85㎡~102㎡
충남,2016.0,1.0,8065.2,102㎡~
전북,2016.0,1.0,6534.0,모든면적
전북,2016.0,1.0,6296.4,60㎡
전북,2016.0,1.0,6557.099999999999,60㎡~85㎡
전북,2016.0,1.0,7844.099999999999,85㎡~102㎡
전북,2016.0,1.0,7530.599999999999,102㎡~
전남,2016.0,1.0,6299.7,모든면적
전남,2016.0,1.0,6596.7,60㎡
전남,2016.0,1.0,6289.799999999999,60㎡~85㎡
전남,2016.0,1.0,7464.599999999999,85㎡~102㎡
전남,2016.0,1.0,7180.799999999999,102㎡~
경북,2016.0,1.0,7197.299999999999,모든면적
경북,2016.0,1.0,7187.4,60㎡
경북,2016.0,1.0,7210.5,60㎡~85㎡
경북,2016.0,1.0,8302.8,85㎡~102㎡
경북,2016.0,1.0,7741.799999999999,102㎡~
경남,2016.0,1.0,7679.099999999999,모든면적
경남,2016.0,1.0,7491.0,60㎡
경남,2016.0,1.0,7748.4,60㎡~85㎡
경남,2016.0,1.0,9652.5,85㎡~102㎡
경남,2016.0,1.0,9332.4,102㎡~
제주,2016.0,1.0,7484.4,모든면적
제주,2016.0,1.0,7458.0,60㎡~85㎡
제주,2016.0,1.0,8523.9,85㎡~102㎡
제주,2016.0,1.0,8494.199999999999,102㎡~
서울,2016.0,2.0,20166.3,모든면적
서울,2016.0,2.0,21245.399999999998,60㎡
서울,2016.0,2.0,19928.7,60㎡~85㎡
서울,2016.0,2.0,21492.899999999998,85㎡~102㎡
서울,2016.0,2.0,21311.399999999998,102㎡~
인천,2016.0,2.0,10533.599999999999,모든면적
인천,2016.0,2.0,10982.4,60㎡
인천,2016.0,2.0,10269.599999999999,60㎡~85㎡
인천,2016.0,2.0,11698.5,85㎡~102㎡
인천,2016.0,2.0,11246.4,102㎡~
경기,2016.0,2.0,10622.699999999999,모든면적
경기,2016.0,2.0,10870.199999999999,60㎡
경기,2016.0,2.0,10784.4,60㎡~85㎡
경기,2016.0,2.0,11157.3,85㎡~102㎡
경기,2016.0,2.0,12107.699999999999,102㎡~
부산,2016.0,2.0,10408.199999999999,모든면적
부산,2016.0,2.0,9896.699999999999,60㎡
부산,2016.0,2.0,10098.0,60㎡~85㎡
부산,2016.0,2.0,9758.1,85㎡~102㎡
부산,2016.0,2.0,12579.599999999999,102㎡~
대구,2016.0,2.0,10111.199999999999,모든면적
대구,2016.0,2.0,11025.3,60㎡
대구,2016.0,2.0,10160.699999999999,60㎡~85㎡
대구,2016.0,2.0,8355.6,85㎡~102㎡
대구,2016.0,2.0,9051.9,102㎡~
광주,2016.0,2.0,8477.699999999999,모든면적
광주,2016.0,2.0,7903.5,60㎡
광주,2016.0,2.0,8520.6,60㎡~85㎡
대전,2016.0,2.0,8098.2,모든면적
대전,2016.0,2.0,8530.5,60㎡
대전,2016.0,2.0,8012.4,60㎡~85㎡
대전,2016.0,2.0,8121.299999999999,85㎡~102㎡
울산,2016.0,2.0,10051.8,모든면적
울산,2016.0,2.0,8527.199999999999,60㎡
